# x y z Bx By Bz TempV
1.120259099999999989e+03 -2.757922900000000027e+03 -1.164371200000000044e+03 -8.275818689518918414e-02 3.709857477580588703e-01 -1.333264331441976203e-01 -2.014020691611590960e-03
1.120779700000000048e+03 -2.757937100000000100e+03 -1.164371300000000019e+03 -8.063784493297958267e-02 3.826907582158035059e-01 -1.369847002340974784e-01 -1.989359443741070804e-03
1.121306100000000015e+03 -2.757950400000000172e+03 -1.164371399999999994e+03 -7.800365368445280612e-02 3.942617435293748751e-01 -1.407383397151244220e-01 -2.001692194099170125e-03
1.121831599999999980e+03 -2.757963600000000042e+03 -1.164371499999999969e+03 -7.512247491276373423e-02 4.054953688251176080e-01 -1.444981350981290602e-01 -2.029775901146365583e-03
1.122357999999999947e+03 -2.757979100000000017e+03 -1.164371499999999969e+03 -7.135919677616470169e-02 4.165372800996176017e-01 -1.480140588294114878e-01 -2.004509743871625560e-03
1.122867099999999937e+03 -2.757989700000000084e+03 -1.164372000000000071e+03 -6.738079897571173926e-02 4.270813115369089807e-01 -1.512931759096278195e-01 -1.983083697698180981e-03
1.123379200000000083e+03 -2.758003099999999904e+03 -1.164372399999999971e+03 -6.324266783061818775e-02 4.367790438083636317e-01 -1.546562769903801482e-01 -2.045537866965619136e-03
1.123894800000000032e+03 -2.758018199999999979e+03 -1.164372299999999996e+03 -5.857900901501953556e-02 4.459403149592515159e-01 -1.578733567082681311e-01 -2.014634697966186539e-03
1.124430299999999988e+03 -2.758030999999999949e+03 -1.164372399999999971e+03 -5.344209274729824766e-02 4.548698287800000406e-01 -1.610176520649295173e-01 -2.005257508612188263e-03
1.124941299999999956e+03 -2.758043299999999817e+03 -1.164372399999999971e+03 -4.814395227107257091e-02 4.631747449628312863e-01 -1.637515307476047621e-01 -1.974806834698213717e-03
1.125467100000000073e+03 -2.758057600000000093e+03 -1.164372499999999945e+03 -4.262842696529378639e-02 4.709988546181063662e-01 -1.667043935261841303e-01 -1.975324471744476038e-03
1.125988499999999931e+03 -2.758071600000000217e+03 -1.164373000000000047e+03 -3.684713862164284981e-02 4.783809538807142769e-01 -1.692173364924939583e-01 -2.046978357906887366e-03
1.126507200000000012e+03 -2.758085599999999886e+03 -1.164373100000000022e+03 -3.089575079982186112e-02 4.848699713989221283e-01 -1.716338611790706459e-01 -2.061254470019863953e-03
1.127035499999999956e+03 -2.758098599999999806e+03 -1.164373299999999972e+03 -2.474181067214034635e-02 4.908150387950342974e-01 -1.738813439695297003e-01 -2.009327242359186527e-03
1.127560600000000022e+03 -2.758112299999999777e+03 -1.164373100000000022e+03 -1.837670099152940648e-02 4.963779314781175400e-01 -1.758595338096008986e-01 -2.035159286005016471e-03
1.128080500000000029e+03 -2.758125799999999799e+03 -1.164373299999999972e+03 -1.213963583014030304e-02 5.011418305458779088e-01 -1.777296388998312049e-01 -2.022697173593111623e-03
1.128606399999999894e+03 -2.758138100000000122e+03 -1.164373599999999897e+03 -5.691435247123697271e-03 5.053367675031388284e-01 -1.792986500209473033e-01 -1.985887053308391537e-03
1.129132700000000114e+03 -2.758152700000000095e+03 -1.164373800000000074e+03 9.400146857041443739e-04 5.089653902087137860e-01 -1.806339279191421232e-01 -2.003710152682643564e-03
1.129646700000000010e+03 -2.758166000000000167e+03 -1.164374099999999999e+03 7.412614153012049741e-03 5.121854069601798898e-01 -1.819128118905357916e-01 -2.019626831997821826e-03
1.130168799999999919e+03 -2.758179500000000189e+03 -1.164374399999999923e+03 1.404924270284023911e-02 5.144900277654005372e-01 -1.829126806209770972e-01 -1.996140898963690794e-03
1.130689900000000080e+03 -2.758192500000000109e+03 -1.164374600000000100e+03 2.055741704911242737e-02 5.162694374201162173e-01 -1.836688639228505338e-01 -2.037604235970063085e-03
1.131230999999999995e+03 -2.758205699999999979e+03 -1.164374700000000075e+03 2.740759070793102534e-02 5.176247194963159437e-01 -1.840904353921643255e-01 -1.982324282534482073e-03
1.131756499999999960e+03 -2.758220200000000204e+03 -1.164374700000000075e+03 3.437601124738825370e-02 5.184920285367832227e-01 -1.842944346165276970e-01 -2.006553814135358851e-03
1.132282300000000077e+03 -2.758233099999999922e+03 -1.164374900000000025e+03 4.103307028168047543e-02 5.186080028403246001e-01 -1.843072975244602063e-01 -1.988548659830222283e-03
1.132808299999999917e+03 -2.758247699999999895e+03 -1.164375199999999950e+03 4.783661062843989897e-02 5.181617625276750960e-01 -1.840698589868347834e-01 -1.988987211091277057e-03
1.133335399999999936e+03 -2.758261399999999867e+03 -1.164375399999999900e+03 5.448606072709347159e-02 5.172774581038273034e-01 -1.838283186776706601e-01 -1.984881031390581078e-03
1.133845499999999902e+03 -2.758274199999999837e+03 -1.164375800000000027e+03 6.118413146400000086e-02 5.156307862044018364e-01 -1.831640450085375849e-01 -1.992133608844958055e-03
1.134366700000000037e+03 -2.758289800000000014e+03 -1.164375800000000027e+03 6.797141964764284727e-02 5.134864864602848300e-01 -1.824303318037158728e-01 -1.975688193890624226e-03
1.134892700000000104e+03 -2.758301899999999932e+03 -1.164378600000000006e+03 7.484071970872546720e-02 5.108186239932904771e-01 -1.813150167920885847e-01 -1.971055714591750125e-03
1.135412000000000035e+03 -2.758314499999999953e+03 -1.164378200000000106e+03 8.148574751288621687e-02 5.074541942549369855e-01 -1.799609969193875780e-01 -1.980287707629781006e-03
1.135939200000000028e+03 -2.758329699999999775e+03 -1.164377600000000029e+03 8.816800474503529161e-02 5.036306255540989874e-01 -1.783784310884912738e-01 -1.976576029697853839e-03
1.136462500000000091e+03 -2.758342799999999897e+03 -1.164377999999999929e+03 9.474378899710587942e-02 4.990238215885743345e-01 -1.765790324972170977e-01 -1.954109077669202981e-03
1.136978800000000092e+03 -2.758354600000000119e+03 -1.164378200000000106e+03 1.012329770174494048e-01 4.941942196651971653e-01 -1.746896123793512112e-01 -1.960566902923468590e-03
1.137507000000000062e+03 -2.758369499999999789e+03 -1.164377700000000004e+03 1.077361863729289770e-01 4.884115695117158262e-01 -1.724327053089091955e-01 -1.987034234451068738e-03
1.138037900000000036e+03 -2.758383899999999812e+03 -1.164377700000000004e+03 1.141354692578117336e-01 4.819758659592351391e-01 -1.699768818691397287e-01 -1.995874128572594323e-03
1.138562799999999925e+03 -2.758394400000000132e+03 -1.164377899999999954e+03 1.204572500579294131e-01 4.749477148671176208e-01 -1.673433077223812349e-01 -2.040564612254843965e-03
1.139087399999999889e+03 -2.758410800000000108e+03 -1.164377799999999979e+03 1.265688241312235007e-01 4.672801781112351782e-01 -1.646652617473213231e-01 -1.999920895507577030e-03
1.139613299999999981e+03 -2.758424399999999878e+03 -1.164377899999999954e+03 1.323761779077159695e-01 4.591484832522780835e-01 -1.616954650488606482e-01 -1.969077662953887600e-03
1.140136500000000069e+03 -2.758437199999999848e+03 -1.164377899999999954e+03 1.379823986608047226e-01 4.504269825482840051e-01 -1.587392019732429826e-01 -1.961404452473827428e-03
1.140656300000000101e+03 -2.758451100000000224e+03 -1.164377999999999929e+03 1.432128713405021458e-01 4.413338686675000178e-01 -1.555519163623708956e-01 -1.975043525592473734e-03
1.141186799999999948e+03 -2.758463299999999890e+03 -1.164378300000000081e+03 1.481207578527712065e-01 4.313465984722941182e-01 -1.521821381497853176e-01 -1.992510384238234400e-03
1.141713600000000042e+03 -2.758476799999999912e+03 -1.164378200000000106e+03 1.526670933486078963e-01 4.210394891460882416e-01 -1.488414529523711394e-01 -1.982347648113321013e-03
1.142237499999999955e+03 -2.758492200000000139e+03 -1.164377899999999954e+03 1.569276778005823936e-01 4.101489096788823452e-01 -1.452642648440464757e-01 -1.966140704054324725e-03
1.142752999999999929e+03 -2.758505500000000211e+03 -1.164378099999999904e+03 1.605601226333381593e-01 3.990841956919090605e-01 -1.415642075969601454e-01 -1.961216983814875487e-03
1.143273100000000113e+03 -2.758516700000000128e+03 -1.164378400000000056e+03 1.637817580835569942e-01 3.876720444219230455e-01 -1.379738434696435867e-01 -1.937458090912012052e-03
1.143794100000000071e+03 -2.758530799999999999e+03 -1.164378500000000031e+03 1.664149983148578704e-01 3.760692189542307329e-01 -1.340641148301693342e-01 -1.968361980729175457e-03
1.144311400000000049e+03 -2.758545799999999872e+03 -1.164378799999999956e+03 1.685311715267980570e-01 3.643039469596987545e-01 -1.301005529878550004e-01 -1.967364629488096289e-03
1.144836999999999989e+03 -2.758558199999999943e+03 -1.164378999999999905e+03 1.701011281460669822e-01 3.521633275490294035e-01 -1.261569983176587251e-01 -2.008789605821105929e-03
1.145362699999999904e+03 -2.758571600000000217e+03 -1.164379100000000108e+03 1.711171393130238028e-01 3.399657023598213756e-01 -1.221824753306067352e-01 -2.011887680062498900e-03
1.145882100000000037e+03 -2.758585500000000138e+03 -1.164379400000000032e+03 1.717442780120624901e-01 3.279492179456249823e-01 -1.180220698321359646e-01 -1.965438787331632089e-03
1.146400900000000092e+03 -2.758599700000000212e+03 -1.164379400000000032e+03 1.717192211382891076e-01 3.160705446877678515e-01 -1.138460040589395622e-01 -1.973129344446427659e-03
1.146915199999999913e+03 -2.758611199999999826e+03 -1.164379200000000083e+03 1.714135176497924018e-01 3.045870284627710256e-01 -1.096315699054343090e-01 -1.950829614296449924e-03
1.147424800000000005e+03 -2.758624899999999798e+03 -1.164379699999999957e+03 1.705574970639153753e-01 2.934946402590908887e-01 -1.054548148158642729e-01 -1.999843584014875369e-03
1.147951900000000023e+03 -2.758637400000000071e+03 -1.164380100000000084e+03 1.693539714007465669e-01 2.822416685675294135e-01 -1.011797673593203967e-01 -1.983085136990864715e-03
1.148482700000000023e+03 -2.758652799999999843e+03 -1.164380300000000034e+03 1.676462684310832119e-01 2.712404020112280656e-01 -9.696693224736785410e-02 -1.985847184957524776e-03
1.148991899999999987e+03 -2.758666799999999967e+03 -1.164380599999999959e+03 1.657054310214431669e-01 2.608227407175914281e-01 -9.262466421415867235e-02 -1.990596066384145869e-03
1.149517599999999902e+03 -2.758678399999999783e+03 -1.164380900000000111e+03 1.634291906478388123e-01 2.509724489916567713e-01 -8.836980699548380169e-02 -2.003352833966071892e-03
1.150046000000000049e+03 -2.758693299999999908e+03 -1.164381300000000010e+03 1.610115277421631241e-01 2.412435825600877104e-01 -8.401750240329343422e-02 -2.025591380170821236e-03
1.150567299999999932e+03 -2.758707100000000082e+03 -1.164381499999999960e+03 1.582666380892367997e-01 2.321266433447929378e-01 -7.984985302154069819e-02 -2.008364960320085935e-03
1.151089400000000069e+03 -2.758719599999999900e+03 -1.164381699999999910e+03 1.554253011223252767e-01 2.234985318416071454e-01 -7.548890452045833865e-02 -2.017378065420917608e-03
1.151615000000000009e+03 -2.758733999999999924e+03 -1.164381499999999960e+03 1.525587669054061235e-01 2.152921358746936464e-01 -7.116190438844638422e-02 -1.996319819519868505e-03
1.152136500000000069e+03 -2.758745399999999790e+03 -1.164381599999999935e+03 1.494591390759540672e-01 2.075998853913392506e-01 -6.702505716571138805e-02 -1.990862876820152002e-03
1.152656899999999951e+03 -2.758760099999999966e+03 -1.164381699999999910e+03 1.464882679756734640e-01 2.002965602888392982e-01 -6.284797219570721627e-02 -1.965228919915177740e-03
1.153174099999999953e+03 -2.758773799999999937e+03 -1.164381499999999960e+03 1.433972586880280509e-01 1.934898971783928778e-01 -5.864677134334130015e-02 -1.996511059215879454e-03
1.153702099999999973e+03 -2.758788100000000213e+03 -1.164381499999999960e+03 1.403279712682770075e-01 1.870207805422627323e-01 -5.467435155422133847e-02 -1.970668598618651249e-03
1.154217100000000073e+03 -2.758801100000000133e+03 -1.164381399999999985e+03 1.372113270096541049e-01 1.809750235108734950e-01 -5.076992098284578009e-02 -1.974449478900565554e-03
1.154743099999999913e+03 -2.758813700000000154e+03 -1.164381699999999910e+03 1.342559621234774569e-01 1.753360735274556159e-01 -4.692137170639641697e-02 -1.997952045148418312e-03
1.155274100000000089e+03 -2.758827600000000075e+03 -1.164382299999999987e+03 1.310902830203405922e-01 1.699214013613609131e-01 -4.309095479445505111e-02 -1.989015821688826149e-03
1.155805599999999913e+03 -2.758841300000000047e+03 -1.164382399999999961e+03 1.280304550320863766e-01 1.647576682474458376e-01 -3.917052203179924308e-02 -2.002433313864290104e-03
1.156320899999999938e+03 -2.758853700000000117e+03 -1.164382299999999987e+03 1.252441916862061799e-01 1.600680548612944121e-01 -3.567451384593399444e-02 -1.989065979193516565e-03
1.156847999999999956e+03 -2.758869000000000142e+03 -1.164382299999999987e+03 1.223174210419932378e-01 1.556580336980558088e-01 -3.209723113626736929e-02 -1.951011060069251330e-03
1.157366600000000062e+03 -2.758882599999999911e+03 -1.164382499999999936e+03 1.195771416647840174e-01 1.515686014748814647e-01 -2.859842604972775981e-02 -1.990012570171873895e-03
1.157842799999999897e+03 -2.758894099999999980e+03 -1.164383000000000038e+03 1.167663741901270036e-01 1.476224656840499638e-01 -2.518186798288293837e-02 -1.997145339357340055e-03
1.157830099999999902e+03 -2.758896900000000187e+03 -1.164386099999999942e+03 1.151698080543022557e-01 1.451979167769705259e-01 -2.297089476909204911e-02 -2.018034516096273937e-03
1.157869799999999941e+03 -2.758898299999999836e+03 -1.164386899999999969e+03 1.152620835782430103e-01 1.454272739286786853e-01 -2.316661899237226763e-02 -2.008853096146900018e-03
1.157859600000000000e+03 -2.758610299999999825e+03 -1.164384900000000016e+03 1.154713668331145415e-01 1.453460554215021960e-01 -2.327690224549152850e-02 -1.976236012490801934e-03
1.157893199999999979e+03 -2.758096399999999903e+03 -1.164382800000000088e+03 1.182046659052504167e-01 1.466442311408852617e-01 -2.548424590083244942e-02 -2.008180450558104749e-03
1.157899400000000014e+03 -2.757891700000000128e+03 -1.164381800000000112e+03 1.213443459912824374e-01 1.479202089966182021e-01 -2.817360056496644519e-02 -1.978580308800170946e-03
1.157518199999999979e+03 -2.757871399999999994e+03 -1.164386899999999969e+03 1.223186615520714254e-01 1.487287403337053393e-01 -2.909440125128157084e-02 -2.012694374464284869e-03
1.157047700000000077e+03 -2.757879899999999907e+03 -1.164384800000000041e+03 1.251728275093016152e-01 1.524130150454581500e-01 -3.246504719314582954e-02 -1.985331485391617426e-03
1.156520299999999907e+03 -2.757860099999999875e+03 -1.164383800000000065e+03 1.281815719386479591e-01 1.566863908523660753e-01 -3.609017368910225759e-02 -2.013709350382652391e-03
1.155980499999999893e+03 -2.757845499999999902e+03 -1.164383100000000013e+03 1.314370041382597332e-01 1.614911132105232572e-01 -3.980945777770470567e-02 -1.941024159278562089e-03
1.155448499999999967e+03 -2.757836699999999837e+03 -1.164382100000000037e+03 1.349359405659550648e-01 1.664632835632312569e-01 -4.382252804485380071e-02 -2.000160901850414185e-03
1.154934600000000046e+03 -2.757819100000000162e+03 -1.164381399999999985e+03 1.385117084808475119e-01 1.718611699389348824e-01 -4.793927782920750363e-02 -1.998021597682526299e-03
1.154411900000000060e+03 -2.757806099999999788e+03 -1.164380300000000034e+03 1.421155314642466028e-01 1.776135456686607217e-01 -5.197534025480980702e-02 -2.011625477950254419e-03
1.153880400000000009e+03 -2.757791499999999814e+03 -1.164379899999999907e+03 1.458289830883340576e-01 1.836378460963434822e-01 -5.603442271531804131e-02 -1.949935203298244855e-03
1.153376199999999926e+03 -2.757780400000000100e+03 -1.164379599999999982e+03 1.498278243882997240e-01 1.902334965438622627e-01 -6.012847132263735711e-02 -1.988801031881652377e-03
1.152847600000000057e+03 -2.757766500000000178e+03 -1.164380000000000109e+03 1.536386542290311408e-01 1.970355778580714368e-01 -6.447564059464962194e-02 -1.993096348449653003e-03
1.152322599999999966e+03 -2.757752599999999802e+03 -1.164380000000000109e+03 1.573909315232266126e-01 2.047812630783928389e-01 -6.908449427544934018e-02 -2.000834486584820993e-03
1.151794000000000096e+03 -2.757739399999999932e+03 -1.164379500000000007e+03 1.613629994660819023e-01 2.129901180645000225e-01 -7.359176204043710312e-02 -2.034227164081037383e-03
1.151275900000000092e+03 -2.757726700000000164e+03 -1.164379300000000057e+03 1.654391275365111602e-01 2.217170005849704306e-01 -7.808514530082841243e-02 -1.988852955374670588e-03
1.150748499999999922e+03 -2.757713099999999940e+03 -1.164379100000000108e+03 1.693318335543379793e-01 2.308631902366964639e-01 -8.256047618656803255e-02 -1.998540218102677884e-03
1.150227499999999964e+03 -2.757698899999999867e+03 -1.164378899999999931e+03 1.730938133702123738e-01 2.404252807328697839e-01 -8.720944547837057581e-02 -2.005331146801826725e-03
1.149705200000000104e+03 -2.757685199999999895e+03 -1.164379300000000057e+03 1.767993026629094411e-01 2.507954888468749699e-01 -9.184446542555442516e-02 -1.999513431991070591e-03
1.149190499999999929e+03 -2.757670700000000124e+03 -1.164379400000000032e+03 1.804535094810801321e-01 2.617364940938621820e-01 -9.648390842438551995e-02 -1.978978603780163614e-03
1.148665799999999990e+03 -2.757659799999999905e+03 -1.164379200000000083e+03 1.837441545589323932e-01 2.734429292691070712e-01 -1.010219104145805430e-01 -1.968986973979591250e-03
1.148132599999999911e+03 -2.757645599999999831e+03 -1.164378999999999905e+03 1.868146014534094179e-01 2.857661235256394594e-01 -1.057589335904290939e-01 -1.985437869304826092e-03
1.147606199999999944e+03 -2.757632099999999809e+03 -1.164378899999999931e+03 1.895808391531084158e-01 2.987091411396176066e-01 -1.104386604372144670e-01 -1.983679361490725719e-03
1.147077900000000000e+03 -2.757619000000000142e+03 -1.164378600000000006e+03 1.918853474888372046e-01 3.121271631167543692e-01 -1.149357398031584238e-01 -2.000186414223452565e-03
1.146553400000000011e+03 -2.757603099999999813e+03 -1.164378699999999981e+03 1.936387405530967665e-01 3.259444637147928536e-01 -1.196105452181284307e-01 -1.988108018986029044e-03
1.146030500000000075e+03 -2.757590900000000147e+03 -1.164378500000000031e+03 1.949543330761567272e-01 3.402885277798224917e-01 -1.240364922077081128e-01 -1.941094749165539046e-03
1.145501899999999978e+03 -2.757579000000000178e+03 -1.164378600000000006e+03 1.954778047799109186e-01 3.549860522444378552e-01 -1.285825865755522990e-01 -1.966219896814992013e-03
1.144971099999999979e+03 -2.757562300000000050e+03 -1.164377999999999929e+03 1.954477540739676389e-01 3.699461754878822783e-01 -1.330361634191924991e-01 -2.009729213631487096e-03
1.144462399999999889e+03 -2.757550400000000081e+03 -1.164377700000000004e+03 1.948003961823017716e-01 3.848789167560198732e-01 -1.373454656047545241e-01 -1.998502772771373892e-03
1.143943199999999933e+03 -2.757538599999999860e+03 -1.164377600000000029e+03 1.933799608599285624e-01 3.997257360376784696e-01 -1.415811623617196091e-01 -2.032151779999361377e-03
1.143428599999999960e+03 -2.757523499999999785e+03 -1.164377799999999979e+03 1.914192152408152325e-01 4.145882659804517867e-01 -1.456777377755530678e-01 -1.953751539390403968e-03
1.142906400000000076e+03 -2.757510400000000118e+03 -1.164377600000000029e+03 1.885768138939005190e-01 4.291921417586606613e-01 -1.497620297359965880e-01 -2.006726897560904849e-03
1.142381499999999960e+03 -2.757496700000000146e+03 -1.164377600000000029e+03 1.849836225106581689e-01 4.435558570538392087e-01 -1.538035443545752445e-01 -2.012289177046874128e-03
1.141846600000000080e+03 -2.757482100000000173e+03 -1.164376999999999953e+03 1.807372571520222682e-01 4.578549814708430254e-01 -1.577394647467163513e-01 -1.998090036107895429e-03
1.141322599999999966e+03 -2.757470899999999801e+03 -1.164377099999999928e+03 1.758129315154588201e-01 4.717355129204117703e-01 -1.616583170690115423e-01 -1.991408410133147563e-03
1.140788999999999987e+03 -2.757455300000000079e+03 -1.164377099999999928e+03 1.704645880212725950e-01 4.849956593655779802e-01 -1.653330756477382202e-01 -2.002918771287246109e-03
1.140269900000000007e+03 -2.757441100000000006e+03 -1.164376899999999978e+03 1.646123725479946842e-01 4.976348383587124724e-01 -1.690674385600943463e-01 -2.012866311053676614e-03
1.139748599999999897e+03 -2.757428300000000036e+03 -1.164376600000000053e+03 1.584124798741428641e-01 5.090708277727677977e-01 -1.724520935507924957e-01 -2.024593381207270056e-03
1.139234999999999900e+03 -2.757414800000000014e+03 -1.164376500000000078e+03 1.517307926961916076e-01 5.198868027464371711e-01 -1.757649384437852402e-01 -1.971706042385921748e-03
1.138706799999999930e+03 -2.757401100000000042e+03 -1.164376400000000103e+03 1.448205137007631815e-01 5.302117164562499818e-01 -1.789550001696980086e-01 -1.987549931986606292e-03
1.138176699999999983e+03 -2.757390199999999822e+03 -1.164375900000000001e+03 1.375090650385965008e-01 5.395984443017544097e-01 -1.822053444293104674e-01 -1.988310149450599543e-03
1.137658500000000004e+03 -2.757374299999999948e+03 -1.164375999999999976e+03 1.301161629537857245e-01 5.484447924903018690e-01 -1.849840439562673577e-01 -1.982672232612244130e-03
1.137138899999999921e+03 -2.757360499999999774e+03 -1.164375800000000027e+03 1.225644094947857116e-01 5.563446732692857166e-01 -1.877232100266907622e-01 -1.998040659642855935e-03
1.136619200000000092e+03 -2.757347400000000107e+03 -1.164375299999999925e+03 1.149874773072857154e-01 5.635321268581250376e-01 -1.900786148076175630e-01 -2.039908416275509288e-03
1.136117299999999886e+03 -2.757334100000000035e+03 -1.164375500000000102e+03 1.073857108157560969e-01 5.698369576106607770e-01 -1.923595584471193831e-01 -2.016456691243901766e-03
1.135598700000000008e+03 -2.757319599999999809e+03 -1.164375700000000052e+03 9.970107061593345976e-02 5.753447235969999518e-01 -1.943784059740741588e-01 -2.005925906893883757e-03
1.135067700000000059e+03 -2.757307600000000093e+03 -1.164375500000000102e+03 9.179631723256138909e-02 5.802690446259900492e-01 -1.962260942537843444e-01 -2.000359643236379256e-03
1.134554200000000037e+03 -2.757294899999999870e+03 -1.164375099999999975e+03 8.379883172949398329e-02 5.845023782272252832e-01 -1.979318767622629816e-01 -2.020510204700645424e-03
1.134036000000000058e+03 -2.757280600000000049e+03 -1.164374900000000025e+03 7.604767919961734346e-02 5.881053268713791748e-01 -1.992634119129991499e-01 -2.006097030994897275e-03
1.133516200000000026e+03 -2.757267499999999927e+03 -1.164374800000000050e+03 6.829887633892857413e-02 5.910468888518600750e-01 -2.002864331530914976e-01 -2.016199213182397285e-03
1.132986300000000028e+03 -2.757253999999999905e+03 -1.164374800000000050e+03 6.033661666245613425e-02 5.932575955948737878e-01 -2.010868564969120198e-01 -1.963561616861494996e-03
1.132467900000000100e+03 -2.757240299999999934e+03 -1.164374399999999923e+03 5.244808962692857485e-02 5.948484828690879800e-01 -2.016879677571936369e-01 -1.969816399612881515e-03
1.131945600000000013e+03 -2.757227199999999812e+03 -1.164374299999999948e+03 4.449587794289820708e-02 5.959137251416829484e-01 -2.020679544884131096e-01 -1.969529195812935989e-03
1.131425099999999929e+03 -2.757214300000000094e+03 -1.164374099999999999e+03 3.670672185283832545e-02 5.960951541087313732e-01 -2.022376009824494170e-01 -1.977852464179245384e-03
1.130910800000000108e+03 -2.757201300000000174e+03 -1.164374000000000024e+03 2.894021622135714567e-02 5.955740320233210428e-01 -2.019228655361740843e-01 -2.022421227015305367e-03
1.130387400000000071e+03 -2.757185399999999845e+03 -1.164373800000000074e+03 2.114386939978571411e-02 5.946051006646428938e-01 -2.015987265993180733e-01 -2.036081111249999145e-03
1.129867199999999912e+03 -2.757173600000000079e+03 -1.164373700000000099e+03 1.345982770057143306e-02 5.927155444448559685e-01 -2.011753860160014340e-01 -2.010376846117346242e-03
1.129344900000000052e+03 -2.757160400000000209e+03 -1.164373499999999922e+03 5.712617014082842226e-03 5.903218653305367658e-01 -2.001364394470908081e-01 -2.010365213778788577e-03
1.128821300000000065e+03 -2.757146099999999933e+03 -1.164373100000000022e+03 -2.000400074642854666e-03 5.873216140832674403e-01 -1.991147952082435446e-01 -1.990101380564731400e-03
